"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"133" "Lepisosteus_oculatus" "Lepisosteus_oculatus" "Spotted gar" "Actinopterygii" "Fish"
"134" "Leptobrachium_leishanense" "Leptobrachium_leishanense" "Leishan spiny toad" "Amphibia" "Amphibians"
"135" "Lonchura_striata_domestica" "Lonchura_striata_domestica" "Bengalese finch" "Aves" "Birds"
"136" "Loxodonta_africana" "Loxodonta_africana" "Elephant" "Afrotheria" "Afrotheria"
"137" "Lynx_canadensis" "Lynx_canadensis" "Canada lynx" "Laurasiatheria" "Laurasiatheria"
"138" "Macaca_fascicularis" "Macaca_fascicularis" "Crab-eating macaque" "Primates" "Primates"
"139" "Macaca_mulatta" "Macaca_mulatta" "Macaque" "Primates" "Primates"
"140" "Macaca_nemestrina" "Macaca_nemestrina" "Pig-tailed macaque" "Primates" "Primates"
"141" "Malurus_cyaneus_samueli" "Malurus_cyaneus_samueli" "Superb fairywren" "Aves" "Birds"
"142" "Manacus_vitellinus" "Manacus_vitellinus" "Golden-collared manakin" "Aves" "Birds"
"143" "Mandrillus_leucophaeus" "Mandrillus_leucophaeus" "Drill" "Primates" "Primates"
"144" "Marmota_marmota_marmota" "Marmota_marmota_marmota" "Alpine marmot" "Euarchontoglires" "Rodents etc."
"145" "Mastacembelus_armatus" "Mastacembelus_armatus" "Zig-zag eel" "Actinopterygii" "Fish"
"146" "Maylandia_zebra" "Maylandia_zebra" "Zebra mbuna" "Actinopterygii" "Fish"
"147" "Meleagris_gallopavo" "Meleagris_gallopavo" "Turkey" "Aves" "Birds"
"148" "Melopsittacus_undulatus" "Melopsittacus_undulatus" "Budgerigar" "Aves" "Birds"
"149" "Meriones_unguiculatus" "Meriones_unguiculatus" "Mongolian gerbil" "Euarchontoglires" "Rodents etc."
"150" "Mesocricetus_auratus" "Mesocricetus_auratus" "Golden Hamster" "Euarchontoglires" "Rodents etc."
"151" "Microcebus_murinus" "Microcebus_murinus" "Mouse Lemur" "Primates" "Primates"
"152" "Microtus_ochrogaster" "Microtus_ochrogaster" "Prairie vole" "Euarchontoglires" "Rodents etc."
"153" "Mola_mola" "Mola_mola" "Ocean sunfish" "Actinopterygii" "Fish"
"154" "Monodelphis_domestica" "Monodelphis_domestica" "Opossum" "Mammalia" "Other mammals"
"155" "Monodon_monoceros" "Monodon_monoceros" "Narwhal" "Laurasiatheria" "Laurasiatheria"
"156" "Monopterus_albus" "Monopterus_albus" "Swamp eel" "Actinopterygii" "Fish"
"157" "Moschus_moschiferus" "Moschus_moschiferus" "Siberian musk deer" "Laurasiatheria" "Laurasiatheria"
"158" "Mus_caroli" "Mus_caroli" "Ryukyu mouse" "Euarchontoglires" "Rodents etc."
"159" "Mus_musculus" "Mus_musculus" "Mouse" "Euarchontoglires" "Rodents etc."
"160" "Mus_musculus_129s1svimj" "Mus_musculus" "Mouse strains" "Euarchontoglires" "Rodents etc."
"161" "Mus_musculus_aj" NA NA "Euarchontoglires" "Rodents etc."
"162" "Mus_musculus_akrj" NA NA "Euarchontoglires" "Rodents etc."
"163" "Mus_musculus_balbcj" NA NA "Euarchontoglires" "Rodents etc."
"164" "Mus_musculus_c3hhej" NA NA "Euarchontoglires" "Rodents etc."
"165" "Mus_musculus_c57bl6nj" NA NA "Euarchontoglires" "Rodents etc."
"166" "Mus_musculus_casteij" NA NA "Euarchontoglires" "Rodents etc."
"167" "Mus_musculus_cbaj" NA NA "Euarchontoglires" "Rodents etc."
"168" "Mus_musculus_dba2j" NA NA "Euarchontoglires" "Rodents etc."
"169" "Mus_musculus_fvbnj" NA NA "Euarchontoglires" "Rodents etc."
"170" "Mus_musculus_lpj" NA NA "Euarchontoglires" "Rodents etc."
"171" "Mus_musculus_nodshiltj" NA NA "Euarchontoglires" "Rodents etc."
"172" "Mus_musculus_nzohlltj" NA NA "Euarchontoglires" "Rodents etc."
"173" "Mus_musculus_pwkphj" NA NA "Euarchontoglires" "Rodents etc."
"174" "Mus_musculus_wsbeij" NA NA "Euarchontoglires" "Rodents etc."
